공연명,장르,공연시설
더퍼포머 키즈매직쇼,서커스/마술,더퍼포머 마술극장 
남사친 여사친,연극,세우아트센터 
쉬어매드니스,연극,콘텐츠박스(구. 르메이에르 씨어터) 
연애박사: 마법의 사랑솔루션,서커스/마술,연애상담소 
크리미널 시즌4,연극,봄날아트홀 (구. 아리랑소극장) 
연남동 빙굴빙굴 빨래방,뮤지컬,후암씨어터(콘텐츠룸) 
조각: 사라진 기억,연극,댕로홀 
2호선 세입자,연극,바탕골소극장 
비누향기,연극,서연아트홀 (구. 인아소극장) 
내일은 내일에게,연극,초록씨어터 
두잇아카펠라 금토공연,대중음악,두잇아카펠라 Abar 
옹알스,뮤지컬,세우아트센터 
페인터즈,뮤지컬,경향아트힐 
썸데이,뮤지컬,대학로 무하아트센터 
뱀프 X 헌터: 울부짖어라! 피닉스 포포!!,뮤지컬,JS아트홀 (구. 고스트씨어터 구.다소니씨어터) 
난타,뮤지컬,제주난타극장 
불편한 편의점,연극,올웨이즈 씨어터(구.아티스탄홀) 
난타,뮤지컬,홍대난타극장(구. 뮤직쇼웨딩 전용관) 
사내연애 보고서,연극,제나아트홀 (구. 룸씨어터) 
피노키오야 노올자~!,뮤지컬,서연아트홀 (구. 인아소극장) 
죽어야 사는 남자,연극,업스테이지 (UP Stage) 
난타,뮤지컬,명동난타극장 
오백에 삼십,연극,JTN 아트홀(구. 대학로예술마당) 
"더 맨 얼라이브, 초이스",뮤지컬,더 서울라이티움 (갤러리아포레) 
사춘기메들리,연극,아라아트홀 
딜리버리,연극,아라아트홀 
나의PS파트너,연극,마루아트홀 
마술체험전-매직박스,서커스/마술,루시드아트홀 
인사이드 미,뮤지컬,JTN 아트홀(구. 대학로예술마당) 
찰나,서커스/마술,어바웃 매직(aboutmagic) 
어린이 마술쇼 3,서커스/마술,월드컵타운(구. 미리내 마술극단 [인천]) 
반짝반짝 백설공주,뮤지컬,달밤엔씨어터 
어린이 마술쇼,서커스/마술,미리내 마술극단 [송도] 
"여수월드, 여수서커스",서커스/마술,여수월드서커스 
천로역정,뮤지컬,명륜아트홀 
사랑에 빠지기까지 D-100 (사빠디),연극,"아루또소극장 (구. 소담소극장, 구. 코메디컬센터) "
다온마술쇼,서커스/마술,오대호 아트팩토리 
미래상상마술쇼,서커스/마술,파랑새극장(구. 샘터파랑새극장) 
죽여주는 이야기,연극,지인시어터(구. 알과핵소극장) 
크리미널 시즌5,연극,봄날아트홀 (구. 아리랑소극장) 
최신혁의 IMAGINE,서커스/마술,문엔트리 
